index,date_time,open,high,low,close,buyer,seller,value,delta_type
322,2023-06-08 19:00:00,166.4,166.4,166.09,166.13,68280,119020,187300,buyer
323,2023-06-08 19:15:00,166.14,166.35,166.13,166.35,10390,41800,52190,buyer
324,2023-06-08 19:30:00,166.35,166.36,166.21,166.24,21460,28590,50050,buyer
325,2023-06-08 19:45:00,166.22,166.3,166.21,166.26,24910,25910,50820,buyer
326,2023-06-08 20:00:00,166.27,166.53,166.24,166.39,20440,197990,218430,buyer
327,2023-06-08 20:15:00,166.4,166.54,166.38,166.54,26430,46500,72930,buyer
328,2023-06-08 20:30:00,166.55,166.57,166.53,166.54,44590,76960,121550,buyer
329,2023-06-08 20:45:00,166.53,166.57,166.39,166.44,78670,101180,179850,buyer
330,2023-06-08 21:00:00,166.4,166.46,166.33,166.43,24290,43340,67630,buyer
331,2023-06-08 21:15:00,166.43,166.44,166.4,166.43,5940,15530,21470,buyer
332,2023-06-08 21:30:00,166.44,166.44,166.28,166.28,27820,47130,74950,buyer
333,2023-06-08 21:45:00,166.28,166.35,166.2,166.27,23700,39640,63340,buyer
334,2023-06-08 22:00:00,166.25,166.28,166.17,166.17,38400,37450,75850,seller
335,2023-06-08 22:15:00,166.2,166.2,165.8,165.87,210950,388310,599260,buyer
336,2023-06-08 22:30:00,165.87,166.03,165.7,166.02,54160,200340,254500,buyer
337,2023-06-08 22:45:00,166.02,166.23,165.96,166.21,39570,63470,103040,buyer
338,2023-06-08 23:00:00,166.21,166.34,166.09,166.13,55910,99140,155050,buyer
339,2023-06-08 23:15:00,166.14,166.27,166.12,166.15,33790,104460,138250,buyer
340,2023-06-08 23:30:00,166.18,166.2,166.03,166.09,22590,41040,63630,buyer
341,2023-06-08 23:45:00,166.04,166.18,166.04,166.18,2690,28540,31230,buyer
342,2023-06-09 09:45:00,166.48,166.48,166.48,166.48,0,48710,48710,buyer
343,2023-06-09 10:00:00,166.46,166.9,166.22,166.56,255140,1276600,1531740,buyer
344,2023-06-09 10:15:00,166.51,167.46,166.5,167.29,300900,1725170,2026070,buyer
345,2023-06-09 10:30:00,167.29,167.81,166.82,167.09,246020,1256940,1502960,buyer
346,2023-06-09 10:45:00,167.09,167.33,167.09,167.15,61280,262510,323790,buyer
347,2023-06-09 11:00:00,167.15,167.16,166.33,166.56,196330,599850,796180,buyer
348,2023-06-09 11:15:00,166.56,166.81,166.07,166.72,135810,640830,776640,buyer
349,2023-06-09 11:30:00,166.71,167.05,166.52,166.91,189940,291330,481270,buyer
350,2023-06-09 11:45:00,166.94,167.1,166.9,167.09,46220,217190,263410,buyer
351,2023-06-09 12:00:00,167.09,167.25,166.99,167.13,59340,136560,195900,buyer
352,2023-06-09 12:15:00,167.12,167.12,166.8,166.9,85700,182910,268610,buyer
353,2023-06-09 12:30:00,166.89,166.9,166.35,166.7,46780,307150,353930,buyer
354,2023-06-09 12:45:00,166.62,166.77,166.54,166.59,23320,97480,120800,buyer
355,2023-06-09 13:00:00,166.59,167.04,166.54,166.94,48640,195770,244410,buyer
356,2023-06-09 13:15:00,166.93,167.15,166.9,167.14,63070,236250,299320,buyer
357,2023-06-09 13:30:00,167.13,167.3,167.09,167.18,50280,341290,391570,buyer
358,2023-06-09 13:45:00,167.18,167.18,167.02,167.08,50390,143050,193440,buyer
359,2023-06-09 14:00:00,167.09,167.25,167.04,167.23,35650,129660,165310,buyer
360,2023-06-09 14:15:00,167.24,167.27,167.0,167.1,84120,273990,358110,buyer
361,2023-06-09 14:30:00,167.1,167.29,167.08,167.22,57910,206100,264010,buyer
362,2023-06-09 14:45:00,167.21,167.24,166.81,166.95,88510,124310,212820,buyer
363,2023-06-09 15:00:00,166.93,167.24,166.83,167.17,42720,125310,168030,buyer
364,2023-06-09 15:15:00,167.17,167.17,166.95,167.1,70990,121300,192290,buyer
365,2023-06-09 15:30:00,167.1,167.24,167.08,167.18,58920,116000,174920,buyer
366,2023-06-09 15:45:00,167.19,167.2,167.03,167.1,46000,150550,196550,buyer
367,2023-06-09 16:00:00,167.09,167.15,167.03,167.11,56850,81450,138300,buyer
368,2023-06-09 16:15:00,167.11,167.13,167.0,167.08,63800,69110,132910,buyer
369,2023-06-09 16:30:00,167.07,167.11,166.88,166.99,84740,126430,211170,buyer
370,2023-06-09 16:45:00,166.99,167.1,165.8,166.28,187110,1379970,1567080,buyer
371,2023-06-09 17:00:00,166.2,166.34,165.74,166.07,168010,638590,806600,buyer
372,2023-06-09 17:15:00,166.09,166.32,166.0,166.2,54590,266330,320920,buyer
373,2023-06-09 17:30:00,166.2,166.23,165.86,166.17,80220,249540,329760,buyer
374,2023-06-09 17:45:00,166.17,166.23,165.83,165.83,77180,435490,512670,buyer
375,2023-06-09 18:00:00,165.82,165.87,165.11,165.65,312900,735710,1048610,buyer
